Sponsor_Normalized,Victims_Normalized,weight
China,USA,73
USA,USA,38
Iran,USA,34
USA,United Kingdom,15
China,South Korea,11
China,China,10
USA,Germany,7
China,India,7
China,Japan,6
Iran,Iran,4
China,Vietnam,4
USA,Russia,3
Israel,Iran,3
Iran,Saudi Arabia,3
Iran,Israel,3
Pakistan,India,3
China,France,2
China,Germany,2
China,Taiwan,2
USA,South Korea,2
South Korea,USA,2
USA,Iran,2
UAE,Qatar,2
Iran,United Kingdom,2
Mexico,Mexico,2
Saudi Arabia,Saudi Arabia,2
USA,North Korea,2
China,Singapore,1
Australia,USA,1
China,Australia,1
China,Canada,1
Egypt,Egypt,1
China,Thailand,1
India,Pakistan,1
France,USA,1
Pakistan,USA,1
USA,Canada,1
UAE,UAE,1
UAE,United Kingdom,1
USA,UAE,1
Vietnam,China,1
Vietnam,USA,1
Vietnam,Vietnam,1
